Stock,Date,High,Low,Open,Close,Volume
AAPL,2017-12-18, 177.20 , 174.86 , 174.88 , 176.42 ,29421100
AAPL,2017-12-19, 175.39 , 174.09 , 175.03 , 174.54 ,27436400
AAPL,2017-12-20, 175.42 , 173.25 , 174.87 , 174.35 ,23475600
AAPL,2017-12-21, 176.02 , 174.10 , 174.17 , 175.01 ,20949900
AAPL,2017-12-22, 175.42 , 174.50 , 174.68 , 175.01 ,16114600
AAPL,2017-12-26, 171.47 , 169.68 , 170.80 , 170.57 ,33185500
AAPL,2017-12-27, 170.78 , 169.71 , 170.10 , 170.60 ,21498200
AAPL,2017-12-28, 171.85 , 170.48 , 171.00 , 171.08 ,16480200
AAPL,2017-12-29, 170.59 , 169.22 , 170.52 , 169.23 ,25884400
AAPL,2018-01-02, 172.30 , 169.26 , 170.16 , 172.26 ,25555900
AAPL,2018-01-03, 174.55 , 171.96 , 172.53 , 172.23 ,29517900
AAPL,2018-01-04, 173.47 , 172.08 , 172.54 , 173.03 ,22434600
AAPL,2018-01-05, 175.37 , 173.05 , 173.44 , 175.00 ,23660000
AAPL,2018-01-08, 175.61 , 173.93 , 174.35 , 174.35 ,20567800
AAPL,2018-01-09, 175.06 , 173.41 , 174.55 , 174.33 ,21584000
AAPL,2018-01-10, 174.30 , 173.00 , 173.16 , 174.29 ,23959900
AAPL,2018-01-11, 175.49 , 174.49 , 174.59 , 175.28 ,18667700
AAPL,2018-01-12, 177.36 , 175.65 , 176.18 , 177.09 ,25226000
AAPL,2018-01-16, 179.39 , 176.14 , 177.90 , 176.19 ,29565900
AAPL,2018-01-17, 179.25 , 175.07 , 176.15 , 179.10 ,34386800
AAPL,2018-01-18, 180.10 , 178.25 , 179.37 , 179.26 ,31193400
AAPL,2018-01-19, 179.58 , 177.41 , 178.61 , 178.46 ,32425100
AAPL,2018-01-22, 177.78 , 176.60 , 177.30 , 177.00 ,27108600
AAPL,2018-01-23, 179.44 , 176.82 , 177.30 , 177.04 ,32689100
AAPL,2018-01-24, 177.30 , 173.20 , 177.25 , 174.22 ,51105100
AAPL,2018-01-25, 174.95 , 170.53 , 174.51 , 171.11 ,41529000
AAPL,2018-01-26, 172.00 , 170.06 , 172.00 , 171.51 ,39143000
AAPL,2018-01-29, 170.16 , 167.07 , 170.16 , 167.96 ,50640400
AAPL,2018-01-30, 167.37 , 164.70 , 165.53 , 166.97 ,46048200
AAPL,2018-01-31, 168.44 , 166.50 , 166.87 , 167.43 ,32478900
AAPL,2018-02-01, 168.62 , 166.76 , 167.17 , 167.78 ,47230800
AAPL,2018-02-02, 166.80 , 160.10 , 166.00 , 160.50 ,86593800
AAPL,2018-02-05, 163.88 , 156.00 , 159.10 , 156.49 ,72738500
AAPL,2018-02-06, 163.72 , 154.00 , 154.83 , 163.03 ,68243800
AAPL,2018-02-07, 163.40 , 159.07 , 163.09 , 159.54 ,51608600
AAPL,2018-02-08, 161.00 , 155.03 , 160.29 , 155.15 ,54390500
AAPL,2018-02-09, 157.89 , 150.24 , 157.07 , 156.41 ,70672600
AAPL,2018-02-12, 163.89 , 157.51 , 158.50 , 162.71 ,60819500
AAPL,2018-02-13, 164.75 , 161.65 , 161.95 , 164.34 ,32549200
AAPL,2018-02-14, 167.54 , 162.88 , 163.04 , 167.37 ,40644900
AAPL,2018-02-15, 173.09 , 169.00 , 169.79 , 172.99 ,51147200
AAPL,2018-02-16, 174.82 , 171.77 , 172.36 , 172.43 ,40176100
AAPL,2018-02-20, 174.26 , 171.42 , 172.05 , 171.85 ,33930500
AAPL,2018-02-21, 174.12 , 171.01 , 172.83 , 171.07 ,37471600
AAPL,2018-02-22, 173.95 , 171.71 , 171.80 , 172.50 ,30991900
AAPL,2018-02-23, 175.65 , 173.54 , 173.67 , 175.50 ,33812400
AAPL,2018-02-26, 179.39 , 176.21 , 176.35 , 178.97 ,38162200
AAPL,2018-02-27, 180.48 , 178.16 , 179.10 , 178.39 ,38928100
AAPL,2018-02-28, 180.62 , 178.05 , 179.26 , 178.12 ,37782100
AAPL,2018-03-01, 179.78 , 172.66 , 178.54 , 175.00 ,48802000
AAPL,2018-03-02, 176.30 , 172.45 , 172.80 , 176.21 ,38454000
AAPL,2018-03-05, 177.74 , 174.52 , 175.21 , 176.82 ,28401400
AAPL,2018-03-06, 178.25 , 176.13 , 177.91 , 176.67 ,23788500
AAPL,2018-03-07, 175.85 , 174.27 , 174.94 , 175.03 ,31703500
AAPL,2018-03-08, 177.12 , 175.07 , 175.48 , 176.94 ,23774100
AAPL,2018-03-09, 180.00 , 177.39 , 177.96 , 179.98 ,32185200
AAPL,2018-03-12, 182.39 , 180.21 , 180.29 , 181.72 ,32207100
AAPL,2018-03-13, 183.50 , 179.24 , 182.59 , 179.97 ,31693500
AAPL,2018-03-14, 180.52 , 177.81 , 180.32 , 178.44 ,29368400
